"Image 
Name","Stance 
Width","Leg Spread 
Angle","Pelvis Lateral 
Offset","Support Triangle 
Area","Pelvis Height 
Ratio","Leg Symmetry 
Ratio","Stability 
Index",,,,,,
han_zenkutsu_dachi_front_001.png,0.763649791,47.25540684,0.047109208,0.308390153,0.835117773,1.255019044,82.96325781,,,,,,
han_zenkutsu_dachi_front_003.png,0.807668704,47.75852175,0.03236246,0.354861177,0.815533981,0.85399052,71.25880338,,,,,,
han_zenkutsu_dachi_front_004.png,0.662399296,41.19888215,0.040540541,0.248181154,0.897297297,1.341892834,62.99068745,,,,,,
han_zenkutsu_dachi_front_005.png,0.585792311,34.94209611,0.02970297,0.237053965,0.849009901,0.793041228,42.37809575,,,,,,
han_zenkutsu_dachi_front_006.png,0.698122339,40.8497468,0.02293578,0.324294041,0.818807339,1.068203695,60.84795066,,,,,,
han_zenkutsu_dachi_front_008.png,0.496477029,30.11143225,0.074572127,0.202201685,0.887530562,0.827659986,33.03559535,,,,,,
han_zenkutsu_dachi_front_009.png,0.635195985,37.85013726,0.016393443,0.285867854,0.817330211,1.116989681,53.50865699,,Summary Table,,,,
han_zenkutsu_dachi_side_002.png,0.73827986,43.4697386,0.04845815,0.322143841,0.86123348,0.832981128,78.28751319,,,,,,
heiko_dachi_001.png,0.741009923,41.60756384,0.060634328,0.358602278,0.819029851,1.063590365,84.86747926,,Metric,Mean,Min,Max,Std
heiko_dachi_002.png,0.646329504,36.29727321,0.051578947,0.317606648,0.865263158,0.965684745,78.53572315,,Stance_Width,0.9,0.29,1.74,0.35
heiko_dachi_003.png,0.686346725,40.0270412,0.018973214,0.317161093,0.850446429,1.100104148,91.14690178,,Leg_Spread_Angle,50.66,16.02,83.71,16.7
heiko_dachi_004.png,0.542922696,31.01081027,0.03111588,0.265309271,0.849785408,0.981730871,61.34007847,,Pelvis_Lateral_Offset,0.06,0.01,0.18,0.04
heiko_dachi_005.png,0.72958824,41.95138392,0.037878788,0.342793465,0.898989899,0.922808412,85.58420617,,Support_Triangle_Area,0.41,0.13,0.84,0.17
heiko_dachi_006.png,0.888629795,49.03590028,0.070291777,0.430464578,0.870026525,0.940341419,59.70136307,,Pelvis_Height_Ratio,0.87,0.82,0.98,0.04
heiko_dachi_007.png,0.697717485,41.65609166,0.057647059,0.315205536,0.877647059,1.090754009,95.27116507,,Leg_Symmetry_Ratio,1.02,0.76,1.5,0.16
heiko_dachi_008.png,0.68580498,40.37829413,0.040302267,0.306188098,0.889168766,0.864828949,79.9429855,,Stability_Index,63.41,31.26,95.28,17.66
heiko_dachi_011.png,0.945104382,52.02839624,0.010115607,0.457549534,0.893063584,1.003420243,56.2231593,,,,,,
heiko_dachi_012.png,0.590785127,33.79657752,0.050432277,0.286378095,0.893371758,0.9688512,72.02111612,,,,,,
neko_ashi_dachi_002.png,0.280548287,16.01074525,0.035714286,0.12168447,0.843317972,1.113770106,86.60486455,,,,,,
neko_ashi_dachi_010.png,0.829267707,46.90549379,0.01010101,0.395112744,0.888888889,0.957569526,33.71043266,,,,,,
neko_ashi_dachi_011.png,0.518009558,29.68827993,0.013513514,0.252520952,0.862785863,1.025077798,57.4235431,,,,,,
neko_ashi_dachi_012.jpg,0.58849321,32.55482162,0.17810219,0.278821461,0.910948905,0.868394135,41.14790473,,,,,,
siko_dachi_001.png,1.730915278,83.70067275,0.021246459,0.836139444,0.97733711,0.984765824,40.55490484,,,,,,
siko_dachi_003.png,1.197238531,63.57122444,0.00243309,0.578128237,0.851581509,1.016958511,91.69932047,,,,,,
siko_dachi_004.png,1.661595167,81.76539919,0.007763975,0.797133598,0.919254658,1.019290806,48.95357542,,,,,,
siko_dachi_005.png,1.2909509,67.05294647,0.014285714,0.628615281,0.849350649,0.979298907,84.97559348,,,,,,
siko_dachi_006.png,1.500005692,76.09584375,0.051652893,0.717565399,0.929752066,0.951503819,53.33926598,,,,,,
siko_dachi_007.png,1.43,72.38416678,0.0575,0.697125,0.82,0.945369595,59.37737932,,,,,,
siko_dachi_008.png,1.386303288,73.40606738,0.118556701,0.625989744,0.817010309,0.814430579,59.85188484,,,,,,
siko_dachi_010.png,1.38501003,71.74608299,0.104121475,0.661024087,0.867678959,1.068663328,71.85461088,,,,,,
siko_dachi_011.png,0.780478427,49.09550265,0.076233184,0.307310624,0.816143498,1.273324157,31.25370107,,,,,,
siko_dachi_012.png,1.268737736,79.13191467,0.042028986,0.464251208,0.939130435,0.754806939,55.49611689,,,,,,
siko_dachi_013.png,0.972866462,60.35683025,0.059633028,0.350685969,0.880733945,1.491624557,45.65241477,,,,,,
siko_dachi_014.png,1.077401331,66.47700942,0.085014409,0.430906328,0.88184438,1.199648383,61.45342036,,,,,,
siko_dachi_015.png,1.155803194,69.081041,0.064690027,0.476020953,0.851752022,1.170295326,68.66409356,,,,,,
zenkutsu_dachi_front_002.png,0.467643251,28.19892398,0.066964286,0.201331314,0.816964286,1.148755839,37.90757908,,,,,,
zenkutsu_dachi_front_004.png,0.729139712,45.26518544,0.086065574,0.299868987,0.850409836,1.212900502,76.66409884,,,,,,
zenkutsu_dachi_side_001.png,1.199529898,67.58646342,0.086075949,0.513853549,0.873417722,0.78823899,80.61184679,,,,,,
zenkutsu_dachi_side_002.png,1.039252287,60.10115167,0.045563549,0.462754976,0.863309353,0.911475955,65.02069916,,,,,,
